position	var	question	variable_type	response_id	response
126	Q67	Could we send you a survey in the future to ask about your health and healthcare?	NOMINAL	1	Yes, and I understand that this does NOT mean that I would have to take part in the future survey
126	Q67	Could we send you a survey in the future to ask about your health and healthcare?	NOMINAL	2	No, I would prefer you not to contact me again
127	IMD_Quintile	IMD Quintile	NOMINAL	NA	"NA"
128	Age_band_3	Age band 3	NOMINAL	1	<55
128	Age_band_3	Age band 3	NOMINAL	2	55-64
128	Age_band_3	Age band 3	NOMINAL	3	65-74
128	Age_band_3	Age band 3	NOMINAL	4	75+
129	Ethnicity	Ethnicity	NOMINAL	1	White
129	Ethnicity	Ethnicity	NOMINAL	2	BME
129	Ethnicity	Ethnicity	NOMINAL	3	Not specified
129	Ethnicity	Ethnicity	NOMINAL	4	Suppressed
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	1	Anal
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	2	Bladder
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	3	Breast
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	4	Cervical
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	5	Colon
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	6	DCIS
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	7	Endometrial
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	8	Leukaemia
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	9	Lip Oral Cavity and Pharynx
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	10	Lung
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	11	Melanoma
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	12	Multiple Myeloma
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	13	Non-Hodgkins Limphoma
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	14	Oesophageal
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	15	Other
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	16	Ovarian
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	17	Pancreatic
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	18	Prostate
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	19	Rectal
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	20	Renal
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	21	Secondary
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	22	Soft Tissue Sarcoma
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	23	Stomach
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	24	Testicular
130	ICD10BasedCancerType	ICD10 Based Cancer Type	SCALE	25	Thyroid
131	ResponseMode	Response Mode	NOMINAL	1	Postal
131	ResponseMode	Response Mode	NOMINAL	2	Online
131	ResponseMode	Response Mode	NOMINAL	3	Other
